age,income,years_experience,target
46,99803,4,1
28,101524,11,1
50,123510,11,1
23,119572,20,0
32,38680,18,0
49,97021,8,1
28,110249,35,1
40,50043,31,1
43,32419,34,1
51,86892,30,0
51,143616,31,0
46,131799,36,0
21,47140,31,1
34,73484,36,1
52,93869,38,1
30,75210,37,1
58,87600,29,0
56,146467,31,0
32,108497,1,0
46,138611,10,1
46,36487,19,1
28,90692,36,1
49,92112,8,1
19,61110,37,1
31,137968,18,0
37,46360,39,1
39,79410,6,1
28,132379,4,0
44,120418,23,0
20,113038,6,1
34,143589,10,0
45,103167,8,1
46,33017,29,1
38,116261,2,0
33,90124,21,1
54,146346,39,1
37,120298,19,1
23,80949,31,0
36,88268,6,0
22,96320,6,0
20,123556,19,0
18,133995,24,1
55,111301,34,0
32,61127,23,1
51,33196,39,0
52,105088,12,0
42,71300,38,1
41,79714,3,0
29,61921,11,0
35,34746,16,1
32,98535,0,0
33,95350,16,1
44,80345,1,0
25,139606,5,1
42,79220,10,0
34,111131,17,1
46,52063,39,0
25,147116,24,1
32,101736,38,0
44,133700,27,0
24,118913,15,0
20,108946,11,1
46,75971,28,1
41,33598,22,0
20,40564,20,0
37,141052,15,0
32,126434,25,0
42,79725,36,0
47,116134,21,0
31,135940,9,0
24,89940,6,0
34,92085,8,0
37,47862,24,0
53,40265,14,1
26,39705,12,1
55,85279,25,0
39,92471,20,0
19,121080,22,0
41,109834,27,1
25,92979,37,1
28,85828,11,0
30,128206,23,0
34,146884,12,0
25,138007,39,1
38,76104,1,1
35,70934,38,1
47,144420,11,1
35,36050,38,0
48,73952,13,0
55,116570,29,0
49,141016,18,0
28,38484,30,0
42,92648,24,1
50,89945,3,0
55,83678,12,0
58,61323,35,1
25,116332,36,0
28,124605,2,0
39,117363,15,0
41,65361,25,1
58,40315,39,0
34,77968,38,1
29,56519,18,1
49,39107,14,1
32,85781,31,1
33,33869,20,0
39,110983,0,1
45,57370,5,0
37,92695,26,1
50,90422,22,0
27,37971,30,0
57,126805,11,0
49,55651,20,0
50,86974,1,0
19,131293,4,0
50,53446,8,0
50,68108,19,0
58,105179,17,0
30,33823,21,0
47,43454,7,1
50,33932,33,0
30,40220,8,0
43,104090,6,0
39,97965,29,1
56,58208,17,1
19,102980,26,0
55,40510,15,0
56,74045,20,1
43,40537,4,0
32,102683,28,0
51,135935,36,1
59,99134,21,1
57,132633,13,0
28,102254,18,0
20,138227,34,0
23,43782,23,1
26,144780,5,0
23,95587,2,0
26,112238,33,1
56,105720,1,0
48,108004,14,0
49,52072,36,0
58,111015,14,0
29,124003,31,1
25,118938,20,1
25,102746,16,1
45,75702,33,0
37,132260,31,0
24,36057,22,0
28,60916,34,0
37,57268,36,1
33,73978,36,0
21,142894,32,0
23,53259,24,0
39,83583,36,1
43,109400,39,0
20,64293,20,0
58,141581,37,0
59,37043,39,0
31,80430,33,0
28,137009,18,1
35,68893,26,0
29,70642,8,0
40,108065,4,0
29,60868,4,0
30,56309,24,0
42,53284,25,1
36,143259,18,0
53,130804,29,1
25,99000,35,1
46,114179,15,0
49,92107,6,0
35,95049,17,1
23,59265,20,0
35,111490,30,1
36,53880,0,1
39,114579,2,0
54,30255,30,0
49,31502,24,1
58,100192,7,0
20,95424,0,1
45,105838,6,1
27,100966,6,0
52,71366,7,1
46,57425,18,1
32,82328,16,1
50,144280,10,1
24,97396,10,1
29,101694,37,1
47,35806,1,0
38,116274,3,1
48,47106,27,1
41,86731,32,0
37,105010,10,0
54,112533,2,0
21,148019,39,1
45,62599,4,0
37,101326,20,1
41,147804,21,1
49,105706,36,1
58,39004,10,1
53,138282,21,0
51,145018,12,1
53,81364,2,1
19,55792,12,1
32,125752,27,1
51,94912,10,1
53,84645,10,1
23,37232,20,0
56,108210,20,0
59,84766,6,1
29,111588,16,1
20,78542,13,1
35,35913,32,1
57,142406,10,1
38,143693,12,0
32,123449,0,1
50,40567,33,0
52,68379,8,0
43,104968,12,0
25,30319,36,0
53,120005,29,0
47,140990,36,1
40,122026,6,1
59,116120,13,1
31,34791,5,1
31,127272,33,0
19,30329,15,0
54,104387,36,1
22,91032,35,0
55,74078,5,1
58,118662,7,0
31,51300,23,0
56,105700,2,0
42,80945,3,0
37,85609,31,1
19,90562,0,0
56,120045,33,1
23,91901,8,1
34,35703,11,0
42,122645,9,1
45,93115,9,1
19,138953,22,1
52,118090,5,1
54,57676,23,0
22,91710,23,0
18,90077,20,0
57,119340,30,0
29,75440,29,1
53,66923,33,1
40,59802,17,0
48,120331,11,0
28,92904,34,1
27,90162,6,0
20,95169,39,1
31,98147,24,0
33,52075,5,1
27,147281,0,1
46,112015,15,0
27,104716,3,0
29,39304,28,0
47,89622,37,1
58,84215,27,0
18,110146,21,0
22,103973,7,0
37,138654,31,0
25,42521,32,0
29,148037,12,1
18,54028,26,0
37,69328,17,0
45,57301,17,0
54,68015,12,0
54,117276,21,1
29,66845,13,1
54,116818,10,0
45,106394,38,0
32,74159,21,0
23,73714,35,1
37,110722,16,1
31,129721,31,0
19,126730,13,1
26,55230,28,1
54,122554,5,1
37,79262,3,1
43,120201,10,1
46,71722,39,1
18,76359,9,0
52,92796,27,1
23,70159,10,0
54,139668,34,1
22,138675,14,0
50,117052,7,1
31,130808,19,0
29,120209,20,0
59,35239,0,1
37,144980,28,0
41,121951,23,0
51,80886,29,1
42,133424,39,0
46,57195,34,1
56,134697,32,0
48,124859,19,0
40,130500,15,1
55,131770,8,0
37,126299,30,0
40,64674,16,1
33,48105,30,1
59,140187,22,1
25,59739,5,0
38,143741,29,0
18,61969,6,1
25,44497,39,0
46,31816,10,0
49,148915,33,0
55,122019,11,0
22,89254,26,0
39,139017,11,1
51,117695,12,1
18,99385,7,0
43,117148,15,0
27,135153,28,0
47,63826,34,1
35,140034,28,1
34,93365,30,1
43,114242,12,1
25,80100,11,1
57,120099,1,0
29,34359,32,0
44,126205,7,0
25,42809,39,0
42,94450,31,1
21,68428,37,0
50,124990,27,0
18,102790,14,0
36,141126,22,0
48,120321,23,1
33,32093,12,1
31,74498,20,0
22,146251,11,0
58,70985,12,0
43,62009,38,0
45,112094,22,1
19,47718,27,1
23,46705,13,0
26,117618,16,0
50,92598,23,1
58,107878,33,1
42,42239,21,0
30,76622,9,0
26,76665,7,0
30,62274,20,1
48,41419,36,1
58,138368,6,1
28,45003,25,1
21,60866,12,1
51,51988,15,0
55,85894,29,0
21,138563,30,0
55,120444,4,0
36,35674,31,1
23,100538,15,0
51,123103,8,1
35,96446,21,1
30,59072,39,0
58,63717,36,0
40,117345,13,0
36,56651,15,0
28,147202,19,0
18,74291,14,0
41,139525,25,1
24,93350,8,1
42,112020,0,1
38,34646,34,0
32,69713,19,1
18,97936,5,0
29,74331,9,0
24,52185,32,1
32,114263,15,1
38,128656,35,0
36,82107,5,0
46,143793,18,1
42,96554,30,1
50,47563,1,1
49,100729,17,1
52,45701,27,1
55,99072,3,1
43,78217,0,0
28,74610,15,1
52,114422,1,0
25,132123,35,0
31,80131,0,1
27,59410,38,1
19,129280,22,1
26,88715,25,0
20,146968,10,0
38,68665,0,1
43,45957,10,1
25,78127,23,0
19,93589,9,0
23,76008,13,1
45,91920,13,1
46,62875,6,1
43,143828,22,0
42,31626,21,0
29,120815,35,1
22,93822,26,1
51,101765,1,1
54,102413,38,0
32,63642,18,0
53,68311,6,0
32,62356,11,1
40,33809,2,1
23,73371,4,1
38,64875,7,0
40,140049,13,0
33,39465,35,0
32,96095,6,1
42,103844,6,1
53,95250,31,0
28,116889,7,1
32,45250,11,1
21,76023,9,0
38,131350,13,0
30,76624,8,0
39,46427,37,0
36,63276,29,0
51,101643,4,1
31,109012,0,0
21,33439,0,1
44,115848,19,1
46,117331,10,0
45,108672,25,0
52,109703,2,1
25,47300,5,1
33,90289,10,1
59,47182,7,0
53,100507,28,1
47,80912,9,0
35,56909,33,0
19,49659,23,1
30,61403,16,0
21,144187,31,1
43,63586,10,1
42,40360,33,0
47,51424,23,0
28,128035,4,1
24,140231,28,0
48,78791,33,0
27,33065,15,1
56,98795,24,0
30,145594,36,1
48,42300,7,1
24,63370,28,0
59,99831,24,1
59,57209,22,0
53,138287,33,1
37,131831,2,0
21,50927,29,1
24,64579,33,1
18,140407,31,0
59,39032,28,0
30,123254,8,0
39,108413,1,0
38,70731,38,0
39,149937,6,0
45,143528,4,0
26,122202,7,0
43,83767,31,0
26,137220,17,1
32,102302,37,0
27,79954,17,1
41,147270,15,0
59,118365,20,0
25,115757,9,1
41,55102,3,1
33,64433,7,0
43,45932,18,1
44,55714,39,0
54,87803,39,1
21,69743,8,0
41,32552,29,1
36,86627,16,0
53,75987,39,1
56,109810,14,0
27,75380,3,1
42,59250,5,0
35,98344,15,0
36,94686,25,0
53,139394,36,1
27,75028,22,1
50,45295,12,1
22,143141,16,1
52,85248,26,1
51,110205,21,0
50,40523,36,1
38,75530,18,0
34,43769,38,0
39,93042,34,0
54,142035,12,0
32,74645,13,0
52,120743,30,1
45,92142,1,0
24,130760,38,1
49,55557,36,0
28,133727,13,0
27,109782,8,1
26,108382,9,1
31,67085,6,0
30,80708,27,0
42,81357,24,0
19,140939,27,1
52,43470,1,1
24,108712,16,0
38,148643,3,1
35,137417,12,1
20,109082,17,1
59,36805,2,1
56,112324,36,1
58,124884,32,1
28,92028,23,1
56,80772,7,0
41,82104,34,1
36,103616,1,1
21,131422,32,0
43,119300,11,1
55,36630,21,1
59,128869,12,1
49,45701,9,1
56,44859,16,0
53,51183,4,1
57,70438,8,0
54,127285,12,1
50,147556,22,1
53,127423,29,1
20,72244,3,1
26,104312,20,0
25,45021,8,0
50,99863,6,0
23,85565,15,0
58,78043,22,0
56,103150,22,1
21,94361,30,0
30,31245,4,0
19,71011,5,1
22,40355,0,0
44,128841,27,1
49,78692,17,0
38,79004,23,1
25,145228,12,0
55,59714,32,1
25,47198,9,0
20,96951,6,0
20,139334,36,1
39,31652,31,1
23,73625,21,1
19,115982,15,0
40,48740,23,1
19,33810,13,0
55,46569,10,1
34,129855,18,0
52,109120,22,1
51,56783,33,1
40,129065,39,0
47,108047,12,1
25,39471,38,1
39,140771,27,1
53,36163,39,0
22,93087,15,0
30,92071,27,1
46,46065,3,1
48,140190,27,0
33,147969,11,0
59,113456,15,1
47,134505,35,0
33,147852,19,1
29,78348,25,1
34,49154,25,0
33,135703,21,0
29,50229,8,0
25,82587,4,0
37,149398,16,0
20,79713,33,0
33,56997,1,0
47,51101,6,0
40,70391,35,1
45,105863,12,1
57,102723,19,0
22,125221,29,1
37,89405,29,1
57,64948,10,1
18,130264,30,1
47,83031,2,1
38,67921,1,0
37,102571,2,0
23,107007,14,0
39,58460,16,0
35,147958,6,0
25,51071,4,0
56,96118,33,1
49,78282,32,0
50,121725,15,1
33,88445,36,0
29,111067,2,1
55,112208,20,1
51,84816,7,0
31,136283,21,0
53,115779,4,0
50,33060,16,0
40,43731,36,1
19,107830,13,0
58,145871,38,0
38,50719,27,1
19,77042,30,1
44,146134,16,0
26,79116,34,0
18,56325,39,1
28,52597,21,0
20,97439,28,1
40,44551,9,1
43,123287,17,0
21,54278,34,1
35,121189,15,0
23,45141,6,0
52,97913,29,0
39,63615,18,1
32,92751,22,0
39,142684,7,0
54,57452,16,1
59,52725,20,0
29,80391,25,0
59,105060,27,0
55,143535,38,1
35,41698,32,1
52,138875,39,0
47,116711,18,0
41,107850,28,0
59,139733,19,1
47,32365,19,0
31,127553,9,0
23,127662,11,0
20,73372,32,1
33,74134,24,1
24,67823,24,1
31,101158,3,1
26,126076,3,1
32,145060,8,0
38,136087,14,0
52,31949,25,0
19,79396,14,0
44,138336,25,1
19,61912,27,1
52,86947,6,0
35,127697,31,1
31,74387,11,0
37,93965,34,1
35,46508,31,0
27,75592,8,0
42,139249,13,0
19,31919,12,1
42,72595,32,0
50,39617,31,0
53,105268,18,1
48,63298,29,0
31,136153,15,1
18,36929,11,1
33,132653,9,1
20,44456,1,0
52,139599,17,1
58,116676,12,1
23,113721,28,1
42,67924,23,0
30,54240,37,1
51,117381,11,0
25,39228,28,1
38,51686,21,1
51,41920,35,0
21,37432,0,0
42,93575,39,0
32,140507,33,1
21,101725,33,1
29,123575,32,0
49,63910,3,0
49,60226,37,0
45,103150,29,0
30,89099,19,0
48,142557,25,1
31,116760,14,1
37,48013,6,0
35,51446,6,0
46,145450,28,1
23,135209,22,0
49,133193,33,0
46,100375,19,0
19,92509,14,0
40,132261,32,1
36,125739,16,0
48,30557,19,1
22,60666,12,1
36,67389,23,1
51,77700,36,1
27,129143,6,0
42,54578,7,1
19,104779,22,0
28,39596,13,0
48,87500,3,1
32,102534,20,0
26,40129,9,0
40,93394,21,1
36,96046,29,1
26,41596,29,1
52,95355,15,0
38,42974,10,0
26,96673,21,1
45,142004,28,1
24,123433,24,0
33,100202,13,0
33,104442,13,1
50,51818,1,0
21,73246,12,0
21,85598,2,1
56,32654,29,1
57,63758,17,0
34,54204,35,0
54,64928,20,0
56,83609,18,0
46,60552,15,1
53,143440,27,0
55,40336,3,1
56,77037,14,0
54,46206,0,1
52,64831,15,0
24,73563,19,0
44,48361,32,1
45,71335,16,0
39,104469,4,1
31,147355,4,1
24,55816,38,1
54,45619,12,0
39,133223,35,0
22,122479,29,0
19,56819,3,1
44,41741,22,0
38,38798,20,0
55,55143,20,1
32,79695,5,1
38,62747,23,1
27,142870,30,1
40,129187,18,0
56,51182,37,1
22,39415,11,1
18,41085,13,0
30,45008,11,0
38,117638,14,1
43,48452,18,0
38,94075,27,0
35,38120,39,1
54,94385,4,0
49,103356,4,1
53,140205,5,0
34,48170,22,0
52,46259,2,0
28,52099,36,0
38,39649,32,1
43,125791,20,1
21,89258,19,0
51,71037,0,0
35,41805,38,0
57,145996,16,1
52,73147,28,0
58,104280,7,1
46,76053,25,0
46,136777,27,1
55,127841,33,1
59,121393,25,0
38,106215,12,1
59,142909,36,0
30,125365,12,1
58,40985,37,1
34,123823,24,0
26,42391,22,1
58,34861,21,0
18,93582,20,1
19,81928,29,0
46,64364,10,1
50,112399,3,1
27,127035,32,0
57,148000,11,1
38,123330,8,0
45,72923,31,0
28,37919,10,1
51,85896,36,0
25,138638,23,0
39,115818,6,0
25,77396,7,0
32,64840,32,0
34,72255,24,0
40,101160,0,1
41,129242,2,0
36,38176,39,0
22,63529,27,1
49,86406,32,0
18,42941,0,0
40,31669,37,0
54,135432,26,1
25,115782,37,1
30,147373,34,0
25,74859,9,0
40,85786,11,1
18,81083,9,0
41,70076,33,1
52,50323,23,0
41,129430,27,0
34,36021,21,1
22,134741,15,0
37,69807,12,1
38,80355,35,1
57,132439,35,0
48,143415,22,0
53,74732,13,1
28,38711,31,1
32,93079,2,0
36,37904,26,0
24,94033,18,0
45,130587,21,0
22,116478,0,1
22,119787,4,1
47,85096,32,0
49,120594,18,1
25,130781,35,0
27,33093,5,1
55,54918,14,1
49,102743,35,0
45,92636,32,0
34,88806,23,0
48,39394,26,0
25,122510,10,1
57,123708,22,1
42,127819,32,0
26,143145,28,1
19,134531,30,1
32,43280,0,0
20,66303,33,0
53,57453,17,0
21,138886,17,1
31,90695,5,0
58,98449,39,0
58,55765,0,1
42,32340,29,1
27,121715,3,1
38,123409,31,1
53,68057,9,0
29,30597,4,1
44,87988,8,0
57,124655,4,0
19,45025,10,1
30,37145,34,0
49,131206,26,0
48,85797,3,1
33,71723,9,1
49,103230,38,1
49,34830,32,0
51,53930,37,0
28,53752,7,1
27,138138,23,1
32,106025,38,1
34,128228,32,1
57,111304,18,1
35,92040,1,1
26,138668,10,1
42,97696,34,0
57,141572,16,1
31,94648,2,1
42,85030,21,1
39,86815,34,1
47,115669,20,0
37,142789,24,1
38,65690,38,0
49,118406,1,0
38,120032,0,0
52,87923,6,1
49,66572,19,1
47,84030,5,0
56,97904,35,0
29,143461,20,1
58,136397,34,0
35,132236,35,0
38,59203,7,1
30,107088,3,1
38,35608,15,0
25,75667,2,0
57,85547,6,1
24,52485,1,1
40,137596,0,1
49,39862,0,0
28,133835,37,1
39,105948,6,0
39,116890,23,0
42,101880,4,1
39,87560,20,1
45,145063,27,1
46,136191,17,1
30,113529,23,0
35,124218,31,0
19,144462,32,0
46,58415,9,0
38,94523,8,1
32,49323,32,0
44,83214,32,1
48,47997,6,1
32,87003,3,0
40,33679,27,0
41,125025,22,0
30,70308,31,0
39,105024,15,0
54,69842,9,1
50,95408,13,1
20,99532,38,0
36,83938,35,0
40,35695,33,0
46,125740,23,0
47,88499,17,0
56,53382,15,0
42,44235,36,1
54,92223,24,1
25,32366,7,0
59,57467,23,0
33,89316,19,1
25,142468,29,0
18,36764,19,0
22,120896,17,0
20,143831,3,1
18,91836,35,0
21,61923,5,1
57,125711,2,0
52,46292,17,0
49,31614,39,1
59,50939,17,0
51,142700,22,1
42,48800,34,1
27,86440,5,0
38,53246,25,1
56,82805,20,1
44,79648,23,0
44,145192,14,0
19,86851,26,0
58,61688,31,1
30,123498,11,0
26,59764,4,0
53,62470,6,0
39,68501,21,0
59,87207,26,1
43,92157,14,0
29,33216,38,0
34,52072,34,0
31,123778,25,0
31,67132,22,0
51,140573,12,1
37,47861,25,0
28,94186,2,0
33,142133,28,1
48,34960,1,0
23,48781,27,1
36,136605,22,1
54,61126,35,1
21,137145,5,1
21,52578,10,0
37,136034,37,0
27,47883,33,1
41,59782,16,1
52,86387,2,1
43,46979,33,1
54,63746,21,1
55,96266,28,0
38,30056,28,1
57,61457,4,0
56,32243,9,1
38,85031,9,1
27,31701,8,0
55,86381,20,1
21,80438,12,0
37,103839,9,0
34,110636,37,1
24,141302,10,1
21,137697,3,0
46,96483,30,0
31,50505,33,1
20,36553,34,0
41,63525,38,1
54,110402,38,1
33,126008,32,1
21,74348,7,0
41,101187,31,1
51,37273,32,0
47,94236,7,0
35,105569,13,1
36,33535,33,0
48,48677,7,0
36,113024,6,0
36,137157,12,0
39,30908,20,0
41,100153,31,1
29,138352,10,1
47,125967,13,0
55,118989,10,1
48,65079,1,1
53,111556,33,1
36,145477,16,0
53,141889,13,0
47,142321,24,1
50,79323,26,1
35,75320,7,1
45,122098,16,0
28,119909,4,0
50,76105,11,1
34,60164,37,0
23,31885,17,0
21,87819,25,0
37,31049,30,1
44,83281,36,0
32,73271,5,0
23,96697,14,1
31,96351,25,1
28,66534,11,1
56,123034,13,0
26,88097,0,0
43,83813,16,0
33,55037,32,0
22,66007,28,0
27,109478,30,0
20,57278,7,1
30,38272,29,0
47,147492,12,0
23,87183,15,1
34,129173,1,1
36,68294,17,0
59,103277,34,0
52,92509,18,1
43,34694,12,0
22,125842,3,1
46,88150,18,1
54,97470,24,0
37,51556,37,1
38,94471,30,0
27,79855,35,1
22,79086,3,1
53,48907,38,1
23,147327,6,0
43,101695,15,0
21,78487,4,0
56,59158,22,0
56,50293,35,0
52,75761,31,0
18,142117,23,1
41,129468,24,1
53,63387,27,0
23,70750,18,0
58,98602,6,0
48,51256,16,1
37,136942,1,0
41,130641,15,0
42,35594,38,0
53,32460,17,1
38,102356,38,1
47,84698,0,1
41,131746,2,1
59,46191,20,0
47,114631,29,0
39,144630,10,0
45,40529,21,1
24,62175,24,0
52,47675,2,1
45,73158,29,0
31,76798,23,0
27,100910,35,0
33,55976,22,0
33,93116,7,1
48,108678,3,1
59,92821,38,1
42,147343,30,0
30,42204,28,1
23,85665,35,0
26,37394,12,0
53,145392,8,0
37,94814,20,0
35,63593,2,0
38,71964,24,1
21,107188,24,1
50,145064,11,0
44,129276,28,0
24,83365,10,1
23,139572,10,0
32,30443,25,1
35,119439,13,0
49,129058,15,1
28,58180,9,0
37,78791,30,1
41,116655,30,0
32,105899,35,0
24,73665,9,0
38,133700,25,0
59,127077,19,0
43,33465,8,1
31,98247,14,0
54,81559,8,0
38,55198,6,0
35,84740,25,0
22,52488,23,1
20,68515,11,1
40,146411,19,1
43,119144,13,0
54,57898,21,0
41,31919,15,0
36,80070,28,0
42,92613,31,0
38,126707,18,1
29,141777,34,1
58,116135,31,1
50,112501,19,0
21,77003,39,1
59,78478,19,1
24,44434,7,0
39,76246,34,1
50,66649,12,0
34,89030,5,0
41,83061,15,0
51,31999,4,0
45,44849,33,0
58,106439,5,1
56,145088,32,0
39,143004,14,0
34,82800,14,1
51,35445,13,0
23,130932,38,0
23,48040,4,1
51,145308,25,1
18,94315,16,0
27,30246,15,1
38,61153,34,0
22,35212,37,1
19,33339,22,1
39,118678,12,0
19,86238,32,0
27,49394,28,0
51,83871,33,1
33,130672,33,1
56,107722,26,1
39,64607,14,0
29,82055,8,1
41,134509,25,0
57,34395,2,0
55,45290,35,1
27,117687,4,1
52,95078,19,1
49,33691,19,1
24,37470,4,1
38,33841,9,0
37,132652,15,1
43,93197,24,0
21,85773,24,1
39,47776,29,1
32,101596,13,0
57,148943,21,1
38,57584,27,1
32,143829,29,0
39,34300,18,0
45,33338,37,1
31,92601,19,1
44,35487,34,1
58,66282,21,0
57,125065,14,1
45,145447,10,1
43,125798,33,1
19,106816,23,0
42,138611,5,1
20,58804,16,0
25,39915,27,0
50,41158,30,0
59,104157,35,0
52,40547,8,0
23,118713,9,1
56,141789,20,0
40,32459,33,1
42,58768,30,1
36,93146,28,0
22,133577,10,0
28,80870,32,0
29,137761,0,0
27,133727,20,1
25,80460,22,1
41,112970,8,0
45,90817,0,0
58,68247,20,1
53,45419,21,1
54,130553,3,0
38,65577,0,1
25,32921,9,1
26,34676,14,1
32,115961,35,0
57,130721,28,0
35,79684,4,1
59,43463,28,0
37,55474,26,1
23,70935,24,1
29,97005,15,0
19,88596,15,0
24,102828,35,1
33,120945,24,0
20,119062,0,0
20,85152,4,0
44,119001,19,0
57,126491,4,1
55,122321,35,1
50,116569,28,0
45,102467,33,1
18,82576,17,0
25,96627,1,0
54,55772,15,0
49,46363,28,1
54,58490,32,1
21,89004,15,1
47,83806,34,0
23,30260,16,1
36,105992,3,1
49,52320,3,0
26,108971,24,0
29,72145,32,0
28,93688,13,0
33,78581,23,1
18,122561,10,1
38,123645,24,0
47,50754,27,0
30,99837,6,0
51,37207,35,0
21,57920,9,1
45,117739,35,0
55,144780,30,0
48,117081,18,1
44,54016,17,0
22,126634,5,0
42,90522,27,0
20,104092,6,0
50,84068,37,0
21,142099,11,1
42,50102,33,1
37,134429,24,1
51,31924,16,1
43,115015,32,0
22,134987,22,0
52,84333,8,0
45,114458,5,0
46,114196,1,0
26,76099,37,0
55,87346,8,1
23,105481,2,0
36,80062,15,0
28,30306,24,1
19,118495,23,1
26,99767,28,0
38,134332,39,1
41,42207,25,1
51,69426,37,0
39,36336,34,0
20,142200,22,1
29,105166,3,1
45,47256,13,1
47,129445,38,1
43,79817,6,1
38,136704,7,1
45,63719,18,0
43,72017,1,0
50,75704,0,1
38,60013,37,1
52,109991,12,0
51,100258,23,1
58,108348,31,0
35,125812,29,1
28,66776,5,1
40,40060,37,1
39,108592,32,1
34,36655,22,0
22,118110,9,0
28,79923,14,0
47,108563,22,0
32,34030,35,1
44,119779,0,0
52,63289,7,0
50,49739,2,0
37,129704,13,1
33,140234,16,1
51,91687,33,1
19,66491,5,1
52,125549,4,1
57,102115,39,0
45,147935,28,0
56,113778,34,0
23,34781,17,0
26,50448,39,1
37,141177,29,0
18,81550,14,1
25,79294,14,1
40,51446,15,0
20,106579,32,0
21,115389,9,0
42,144679,18,0
55,115615,36,0
32,47101,2,1
38,96178,35,0
52,58016,3,1
31,48932,10,1
53,74653,32,0
29,120481,27,1
34,82802,31,1
56,37549,15,1
26,108933,8,1
52,55362,10,1
30,77842,5,0
32,76539,26,0
35,63717,11,0
50,84596,21,1
23,145209,39,1
44,53016,36,0
40,85200,20,1
44,110268,32,1
51,90287,16,1
55,145042,28,1
31,122447,39,1
53,113402,9,0
25,72607,17,0
52,57621,12,1
36,42823,26,0
47,59986,9,0
31,94325,31,1
37,146903,2,0
42,149404,21,0
57,87771,26,1
41,84973,2,0
31,147225,32,1
43,44690,1,0
55,69107,10,0
40,87888,9,0
39,40956,38,0
36,116839,32,1
20,86227,6,1
59,66533,14,0
36,125210,25,1
26,86234,10,1
45,131131,37,0
37,97594,26,0
24,86901,38,1
31,41519,6,1
26,61115,0,1
36,96266,9,1
31,31832,20,0
55,71368,14,1
53,118425,29,1
57,143922,29,1
34,135474,7,0
47,99715,23,1
26,101835,18,1
50,103366,2,0
42,139743,14,0
31,67570,35,1
28,117977,5,0
52,36615,17,1
58,102298,37,1
31,68311,18,0
47,120245,29,0
58,133187,12,0
21,53434,38,1
21,116879,11,0
45,45739,33,1
25,96202,11,0
19,128580,23,1
58,123419,3,1
39,109599,35,0
58,63649,13,0
33,130364,16,1
46,77445,2,0
47,146770,37,0
29,69470,22,0
52,104965,12,0
28,78621,8,0
38,62926,20,0
38,144300,7,0
22,67997,16,1
37,89940,15,0
54,70724,15,1
20,127805,27,0
50,61704,15,1
26,58391,13,1
26,93291,37,0
21,119723,19,0
52,140870,33,0
34,32526,28,0
51,54686,2,1
41,103339,9,1
49,128204,19,0
18,36574,1,1
25,38733,26,0
40,80290,31,1
57,102793,9,0
29,66051,39,1
29,45909,16,0
32,119682,32,1
58,107338,5,0
36,103432,38,0
43,58133,17,1
46,81571,8,1
39,109062,7,1
57,80908,24,1
38,41278,30,1
55,141546,3,0
37,81458,19,1
46,94265,27,1
21,86782,39,1
24,85415,0,1
45,121087,39,0
45,84160,22,0
21,84399,12,0
39,55298,15,0
29,130874,25,1
20,52191,30,0
39,86964,0,0
19,63092,16,1
41,119407,15,1
51,105257,36,1
44,133949,9,1
58,92513,37,1
18,81097,30,1
25,60279,9,0
40,44404,33,0
55,100022,5,1
23,65198,27,0
39,124223,27,1
42,148198,12,1
35,79997,11,0
34,108692,39,0
29,30567,1,0
23,91032,7,0
43,32179,8,0
44,32019,7,1
25,111455,2,0
36,115239,8,0
59,48704,12,1
18,48030,8,0
46,99445,30,0
52,103551,24,0
57,33420,7,0
31,89875,30,0
52,77653,30,1
37,46740,16,0
30,95263,18,0
55,135789,2,1
25,125864,29,0
37,94559,9,1
50,49465,28,1
43,81432,39,1
56,34131,17,0
38,40652,11,0
59,94973,22,0
58,117043,10,0
26,77147,8,1
41,77671,23,1
54,144217,24,1
58,119342,24,0
34,49171,8,1
41,116129,11,0
38,85692,10,1
56,88541,37,1
58,39470,27,1
56,145153,7,0
30,91344,9,1
28,74308,24,1
36,80639,35,0
28,51326,8,1
30,34597,7,1
18,132840,2,0
57,60788,17,0
36,95020,34,0
29,79477,16,0
25,138261,35,1
25,132466,27,1
29,63071,14,0
50,100603,18,1
43,91923,21,1
56,100560,5,0
45,103251,6,1
22,87492,8,1
25,61770,19,1
42,106762,36,0
44,65399,10,1
40,108948,1,1
47,143341,21,1
40,87439,35,0
37,74415,4,0
35,42569,6,1
35,32369,5,1
19,139963,21,0
21,127557,9,0
47,30528,39,0
50,138806,19,0
53,60314,27,1
35,132979,22,0
54,48047,34,0
36,49748,0,0
45,65109,28,0
57,43919,8,1
37,77498,8,1
50,85808,21,1
29,110792,1,1
32,100441,15,0
58,143843,39,1
56,143559,5,1
19,104420,12,0
46,58906,32,1
58,137447,18,1
27,101486,14,1
19,96896,32,0
28,133431,9,0
30,51946,0,0
27,77020,11,1
31,104266,28,0
35,52161,16,0
26,57738,3,1
56,33925,28,0
45,38463,6,1
20,87153,12,1
37,112948,4,0
23,91009,5,1
44,117938,33,1
19,129546,6,1
46,121253,27,0
55,71552,9,1
20,86271,3,0
33,39797,2,0
47,116130,24,1
57,101942,22,1
19,148065,26,1
34,43965,13,1
58,43733,37,1
29,83223,31,0
52,56926,22,0
18,58783,39,1
32,113360,36,0
43,66394,2,0
54,138378,34,0
38,94796,12,1
48,58287,33,0
42,112104,23,0
40,60436,0,0
41,116916,11,1
55,120332,7,0
45,103567,18,1
38,117483,8,0
